price,repair,year_built_empty,house_age,closest_subway,dist_to_subway,sg,lat,lon,subway_dist_to_center,h3,agent_offers,subway_offers,address_offers,rooms,footage,floor,max_floor,first_floor,last_floor,AO,hm
14500000,2,0,11,81,523,0.0,55.704129,37.771292,10612,8611aa6a7ffffff,36,35,1.0,2,70.0,2,18,0,0,UVAO,panel
12200000,2,0,14,81,968,0.0,55.713562,37.757476,10612,8611aa6a7ffffff,25,10,1.0,2,54.4,17,17,0,1,UVAO,panel
7000000,3,0,58,81,472,0.0,55.70560079999999,37.77083560000001,10612,8611aa6a7ffffff,54,28,1.0,1,31.9,3,5,0,0,UVAO,panel
8200000,2,0,57,81,202,0.0,55.7071654,37.7645875,10612,8611aa6a7ffffff,22,10,1.0,2,42.0,5,5,0,1,UVAO,panel
8100000,2,0,58,81,647,0.0,55.7056993,37.752974,10612,8611aa6a7ffffff,54,28,1.0,2,42.3,5,5,0,1,UVAO,panel
8200000,2,0,56,81,694,0.0,55.710033,37.770897,10612,8611aa6a7ffffff,54,28,1.0,2,38.0,8,9,0,0,UVAO,block
15900000,2,0,12,81,199,0.0,55.70705,37.761707,10612,8611aa6a7ffffff,54,28,1.0,2,60.0,11,17,0,0,UVAO,panel
7450000,1,0,58,81,1375,0.0,55.69838100000001,37.781254,10612,8611aa6a7ffffff,22,14,1.0,2,43.6,4,9,0,0,UVAO,block
8500000,2,0,12,81,392,0.0,55.70753000000001,37.75818,10612,8611aa6a7ffffff,54,28,1.0,1,37.1,3,17,0,0,UVAO,panel
9990000,4,0,14,81,325,0.0,55.70283000000001,37.761124,10612,8611aa6a7ffffff,54,28,1.0,1,42.0,14,24,0,0,UVAO,panel
7950000,2,0,61,81,859,0.0,55.69932610000001,37.7550393,10612,8611aa6a7ffffff,36,35,1.0,2,43.4,5,5,0,1,UVAO,block
18000000,4,0,11,81,387,0.0,55.7089299,37.7622946,10612,8611aa6a7ffffff,10,10,1.0,2,75.0,8,23,0,0,UVAO,panel
10250000,3,0,13,81,1216,0.0,55.713826,37.750712,10612,8611aa6a7ffffff,6,18,2.0,1,42.1,18,25,0,0,UVAO,monolith
7150000,2,0,58,81,390,0.0,55.70238739999999,37.7603984,10612,8611aa6a7ffffff,1,21,1.0,1,32.3,7,9,0,0,UVAO,panel
8100000,2,0,58,81,647,0.0,55.707832,37.753838,10612,8611aa6a7ffffff,1,18,2.0,2,41.7,5,5,0,1,UVAO,panel
